machine,test,level,name,npe,real,comm_avg,speed
MareNostrum 5,mpi-circle,8,cos,2,7.875e-05,5.30184e-06,88241300.0
MareNostrum 5,mpi-circle,8,laplacian,2,9.25e-05,3.65017e-05,75124300.0
MareNostrum 5,mpi-circle,8,poisson,2,0.001423,0.000612404,4883350.0
MareNostrum 5,mpi-circle,8,refine,2,0.008466,0.00342645,820813.0
MareNostrum 5,mpi-circle,8,restriction,2,5e-07,0.0,13898000000.0
MareNostrum 5,mpi-circle,8,sum,2,1e-05,0.0,694900000.0
MareNostrum 5,mpi-circle,10,cos,112,3.53064e-05,2.20428e-05,2056820000.0
MareNostrum 5,mpi-circle,10,laplacian,112,0.000499491,0.00048389,145386000.0
MareNostrum 5,mpi-circle,10,poisson,112,0.0077754,0.00733697,9339580.0
MareNostrum 5,mpi-circle,10,refine,112,0.138661,0.119428,523717.0
MareNostrum 5,mpi-circle,10,restriction,112,5.80357e-07,0.0,125128000000.0
MareNostrum 5,mpi-circle,10,sum,112,6.88481e-06,0.0,10547700000.0
MareNostrum 5,mpi-circle,12,cos,112,0.000132574,1.34617e-05,6116550000.0
MareNostrum 5,mpi-circle,12,cos,224,7.35798e-05,1.38988e-05,11020600000.0
MareNostrum 5,mpi-circle,12,cos,448,4.59415e-05,1.59451e-05,17650600000.0
MareNostrum 5,mpi-circle,12,cos,896,3.67551e-05,2.15826e-05,22062100000.0
MareNostrum 5,mpi-circle,12,cos,1792,5.22123e-05,4.45201e-05,15530700000.0
MareNostrum 5,mpi-circle,12,laplacian,112,0.000520955,0.000415737,1556550000.0
MareNostrum 5,mpi-circle,12,laplacian,224,0.000400112,0.000345567,2026670000.0
MareNostrum 5,mpi-circle,12,laplacian,448,0.000505724,0.000474731,1603430000.0
MareNostrum 5,mpi-circle,12,laplacian,896,0.000569269,0.000550123,1424450000.0
MareNostrum 5,mpi-circle,12,laplacian,1792,0.000790942,0.000777923,1025230000.0
MareNostrum 5,mpi-circle,12,poisson,112,0.0140856,0.0119913,57568900.0
MareNostrum 5,mpi-circle,12,poisson,224,0.0130232,0.0116165,62265600.0
MareNostrum 5,mpi-circle,12,poisson,448,0.0226445,0.0217067,35809800.0
MareNostrum 5,mpi-circle,12,poisson,896,0.0233634,0.0225014,34707900.0
MareNostrum 5,mpi-circle,12,poisson,1792,0.0273409,0.0263542,29658700.0
MareNostrum 5,mpi-circle,12,refine,112,0.721968,0.57597,1123170.0
MareNostrum 5,mpi-circle,12,refine,224,0.961036,0.811016,843772.0
MareNostrum 5,mpi-circle,12,refine,448,1.24315,1.09692,652288.0
MareNostrum 5,mpi-circle,12,refine,896,2.11773,1.93097,382908.0
MareNostrum 5,mpi-circle,12,refine,1792,4.14848,3.86874,195468.0
MareNostrum 5,mpi-circle,12,restriction,112,8.57143e-07,0.0,946044000000.0
