machine,level,npe,cells,steps,t,real,speed,u,grid
MareNostrum 5,10,2,11248,2808,0.5,111.347,291736.0,0.992964,adaptive
MareNostrum 5,10,4,11278,2808,0.5,91.9193,353460.0,0.992999,adaptive
MareNostrum 5,10,8,11239,2808,0.5,80.0223,406093.0,0.992842,adaptive
MareNostrum 5,10,16,11266,2808,0.5,81.9415,396554.0,0.993172,adaptive
MareNostrum 5,10,32,11278,2808,0.5,88.8162,365920.0,0.9928,adaptive
MareNostrum 5,10,64,11275,2808,0.5,102.953,315618.0,0.993055,adaptive
MareNostrum 5,10,128,11275,2808,0.5,113.741,285480.0,0.993189,adaptive
MareNostrum 5,10,256,11257,2808,0.5,132.438,244967.0,0.992716,adaptive
MareNostrum 5,10,512,11293,2808,0.5,267.422,121462.0,0.993299,adaptive
MareNostrum 5,10,1024,11278,2808,0.5,332.578,97564.2,0.992999,adaptive
MareNostrum 5,10,2048,11293,2809,0.5,475.363,68436.3,0.994032,adaptive
MareNostrum 5,12,4,42916,22318,0.5,2847.52,332935.0,0.995742,adaptive
MareNostrum 5,12,8,42784,22318,0.5,1743.23,544045.0,0.993921,adaptive
MareNostrum 5,12,16,42679,22318,0.5,1380.75,686359.0,0.995072,adaptive
MareNostrum 5,12,32,42994,22318,0.5,1349.32,701789.0,0.995896,adaptive
MareNostrum 5,12,64,41941,22318,0.5,1389.13,681749.0,0.998335,adaptive
MareNostrum 5,12,128,42328,22318,0.5,1530.01,618663.0,0.995255,adaptive
MareNostrum 5,12,256,42703,22318,0.5,1768.88,534799.0,0.994946,adaptive
MareNostrum 5,10,2,1048576,2808,0.5,4809.71,612178.0,0.993814,uniform
MareNostrum 5,10,4,1048576,2808,0.5,2505.71,1175080.0,0.993814,uniform
MareNostrum 5,10,8,1048576,2808,0.5,1302.68,2260260.0,0.993814,uniform
MareNostrum 5,10,16,1048576,2808,0.5,686.139,4291260.0,0.993814,uniform
MareNostrum 5,10,32,1048576,2808,0.5,363.735,8094910.0,0.993814,uniform
MareNostrum 5,10,64,1048576,2808,0.5,215.315,13674900.0,0.993814,uniform
MareNostrum 5,10,128,1048576,2808,0.5,75.3515,39075500.0,0.99381,uniform
MareNostrum 5,10,256,1048576,2808,0.5,47.4286,62080700.0,0.993559,uniform
MareNostrum 5,10,512,1048576,2808,0.5,50.5286,58272000.0,0.993554,uniform
MareNostrum 5,10,1024,1048576,2808,0.5,59.8174,49223100.0,0.993561,uniform
MareNostrum 5,10,2048,1048576,2808,0.5,71.744,41040400.0,0.993665,uniform
MareNostrum 5,10,4096,1048576,2808,0.5,104.166,28266400.0,0.993664,uniform
Snellius,10,2,11248,2808,0.5,137.721,235866.0,0.992964,adaptive
Snellius,10,4,11278,2808,0.5,124.209,261574.0,0.992999,adaptive
Snellius,10,8,11239,2808,0.5,111.303,291964.0,0.992842,adaptive
Snellius,10,16,11266,2808,0.5,110.29,294624.0,0.993172,adaptive
Snellius,10,32,11278,2808,0.5,113.535,286252.0,0.9928,adaptive
Snellius,10,64,11275,2808,0.5,121.882,266600.0,0.993055,adaptive
Snellius,10,128,11275,2808,0.5,128.537,252619.0,0.993189,adaptive
Snellius,10,256,11257,2808,0.5,157.049,206578.0,0.992716,adaptive
Snellius,10,512,11293,2808,0.5,190.853,170192.0,0.993299,adaptive
Snellius,10,1024,11278,2808,0.5,239.127,135692.0,0.992999,adaptive
Snellius,10,2048,11302,2810,0.5,339.33,95876.8,0.993206,adaptive
Snellius,12,4,42916,22318,0.5,3131.37,302756.0,0.995742,adaptive
Snellius,12,8,42784,22318,0.5,2279.83,415994.0,0.993921,adaptive
Snellius,12,16,42679,22318,0.5,1881.07,503802.0,0.995072,adaptive
Snellius,12,32,42994,22318,0.5,1784.23,530729.0,0.995896,adaptive
Snellius,12,64,41941,22318,0.5,1678.93,564073.0,0.998335,adaptive
Snellius,12,128,42328,22318,0.5,1732.18,546455.0,0.995255,adaptive
Snellius,12,256,41596,22317,0.5,2006.05,471667.0,0.997234,adaptive
Snellius,12,512,42832,22319,0.5,2394.69,395019.0,0.996514,adaptive
Snellius,12,1024,42520,22318,0.5,3042.97,310640.0,0.995298,adaptive
Snellius,10,4,1048576,2808,0.5,3798.27,775195.0,0.993814,uniform
Snellius,10,8,1048576,2808,0.5,1520.17,1936890.0,0.993814,uniform
Snellius,10,16,1048576,2808,0.5,534.161,5512200.0,0.993814,uniform
Snellius,10,32,1048576,2808,0.5,275.416,10690700.0,0.993814,uniform
Snellius,10,64,1048576,2808,0.5,146.357,20117900.0,0.993814,uniform
Snellius,10,128,1048576,2808,0.5,87.868,33509400.0,0.99381,uniform
Snellius,10,256,1048576,2808,0.5,59.9589,49107000.0,0.993559,uniform
Snellius,10,512,1048576,2808,0.5,47.6903,61740100.0,0.993554,uniform
Snellius,10,1024,1048576,2808,0.5,46.69,63062700.0,0.993561,uniform
Snellius,10,2048,1048576,2808,0.5,49.9482,58949100.0,0.993665,uniform
Snellius,10,4096,1048576,2808,0.5,61.0767,48208300.0,0.993664,uniform
