machine,ndrops,level,npe,cells,steps,t,real,speed,u,grid
MareNostrum 5,2,10,4,1048576,3764,0.5,3685.24,1070980.0,0.697974,uniform
MareNostrum 5,2,10,16,1048576,3771,0.5,1019.98,3876710.0,0.71189,uniform
MareNostrum 5,2,10,64,1048576,3764,0.5,334.002,11816800.0,0.675316,uniform
MareNostrum 5,4,10,4,1048576,3764,0.5,3769.39,1047080.0,0.63473,uniform
MareNostrum 5,4,10,16,1048576,3772,0.5,1063.02,3720730.0,0.63352,uniform
MareNostrum 5,4,10,64,1048576,3764,0.5,345.03,11439100.0,0.645308,uniform
MareNostrum 5,8,10,64,1048576,4532,0.5,457.689,10382900.0,0.607574,uniform
Snellius,2,10,4,1048576,3766,0.5,5615.61,703207.0,0.719164,uniform
Snellius,2,10,16,1048576,3776,0.5,842.825,4697800.0,0.717928,uniform
Snellius,2,10,64,1048576,3764,0.5,240.664,16399800.0,0.662557,uniform
Snellius,4,10,4,1048576,3770,0.5,5758.39,686500.0,0.635557,uniform
Snellius,4,10,16,1048576,3764,0.5,894.014,4414740.0,0.635042,uniform
Snellius,4,10,64,1048576,3764,0.5,247.014,15978200.0,0.645464,uniform
Snellius,8,10,16,1048576,4537,0.5,1162.04,4094000.0,0.541052,uniform
Snellius,8,10,64,1048576,4544,0.5,331.818,14359400.0,0.618504,uniform
Snellius,16,11,64,4194304,5333,0.5,2590.53,8634600.0,0.595802,uniform
Snellius,32,11,64,4194304,6821,0.5,3414.23,8379450.0,0.568956,uniform
