machine,level,npe,cells,steps,t,real,speed,u
MareNostrum 5,10,2,11248,2808,0.5,111.347,291736.0,0.992964
MareNostrum 5,10,4,11278,2808,0.5,91.9193,353460.0,0.992999
MareNostrum 5,10,8,11239,2808,0.5,80.0223,406093.0,0.992842
MareNostrum 5,10,16,11266,2808,0.5,81.9415,396554.0,0.993172
MareNostrum 5,10,32,11278,2808,0.5,88.8162,365920.0,0.9928
MareNostrum 5,10,64,11275,2808,0.5,102.953,315618.0,0.993055
MareNostrum 5,10,128,11275,2808,0.5,113.741,285480.0,0.993189
MareNostrum 5,10,256,11257,2808,0.5,132.438,244967.0,0.992716
MareNostrum 5,10,512,11293,2808,0.5,267.422,121462.0,0.993299
MareNostrum 5,10,1024,11278,2808,0.5,332.578,97564.2,0.992999
MareNostrum 5,10,2048,11293,2809,0.5,475.363,68436.3,0.994032
MareNostrum 5,12,4,42916,22318,0.5,2847.52,332935.0,0.995742
MareNostrum 5,12,8,42784,22318,0.5,1743.23,544045.0,0.993921
MareNostrum 5,12,16,42679,22318,0.5,1380.75,686359.0,0.995072
MareNostrum 5,12,32,42994,22318,0.5,1349.32,701789.0,0.995896
MareNostrum 5,12,64,41941,22318,0.5,1389.13,681749.0,0.998335
MareNostrum 5,12,128,42328,22318,0.5,1530.01,618663.0,0.995255
MareNostrum 5,12,256,42703,22318,0.5,1768.88,534799.0,0.994946
Snellius,10,2,11248,2808,0.5,137.721,235866.0,0.992964
Snellius,10,4,11278,2808,0.5,124.209,261574.0,0.992999
Snellius,10,8,11239,2808,0.5,111.303,291964.0,0.992842
Snellius,10,16,11266,2808,0.5,110.29,294624.0,0.993172
Snellius,10,32,11278,2808,0.5,113.535,286252.0,0.9928
Snellius,10,64,11275,2808,0.5,121.882,266600.0,0.993055
Snellius,10,128,11275,2808,0.5,128.537,252619.0,0.993189
Snellius,10,256,11257,2808,0.5,157.049,206578.0,0.992716
Snellius,10,512,11293,2808,0.5,190.853,170192.0,0.993299
Snellius,10,1024,11278,2808,0.5,239.127,135692.0,0.992999
Snellius,10,2048,11302,2810,0.5,339.33,95876.8,0.993206
Snellius,12,4,42916,22318,0.5,3131.37,302756.0,0.995742
Snellius,12,8,42784,22318,0.5,2279.83,415994.0,0.993921
Snellius,12,16,42679,22318,0.5,1881.07,503802.0,0.995072
Snellius,12,32,42994,22318,0.5,1784.23,530729.0,0.995896
Snellius,12,64,41941,22318,0.5,1678.93,564073.0,0.998335
Snellius,12,128,42328,22318,0.5,1732.18,546455.0,0.995255
Snellius,12,256,41596,22317,0.5,2006.05,471667.0,0.997234
Snellius,12,512,42832,22319,0.5,2394.69,395019.0,0.996514
Snellius,12,1024,42520,22318,0.5,3042.97,310640.0,0.995298
