machine,pts,level,npe,cells,steps,t,real,per_step,speed,u
MareNostrum 5,64,10,2,1048576,2808,0.5,4809.71,1.7128596866096866,612178.0,0.993814
MareNostrum 5,64,10,4,1048576,2808,0.5,2505.71,0.8923468660968661,1175080.0,0.993814
MareNostrum 5,64,10,8,1048576,2808,0.5,1302.68,0.46391737891737894,2260260.0,0.993814
MareNostrum 5,64,10,16,1048576,2808,0.5,686.139,0.24435149572649573,4291260.0,0.993814
MareNostrum 5,64,10,32,1048576,2808,0.5,363.735,0.12953525641025643,8094910.0,0.993814
MareNostrum 5,64,10,64,1048576,2808,0.5,215.315,0.07667913105413106,13674900.0,0.993814
MareNostrum 5,64,10,128,1048576,2808,0.5,75.3515,0.026834579772079772,39075500.0,0.99381
MareNostrum 5,64,10,256,1048576,2808,0.5,47.4286,0.016890527065527065,62080700.0,0.993559
MareNostrum 5,64,10,512,1048576,2808,0.5,50.5286,0.017994515669515668,58272000.0,0.993554
MareNostrum 5,64,10,1024,1048576,2808,0.5,59.8174,0.021302492877492876,49223100.0,0.993561
MareNostrum 5,128,11,2,4194304,7904,0.5,61337.9,7.760361842105263,540478.0,0.99481
MareNostrum 5,128,11,4,4194304,7904,0.5,33187.2,4.198785425101214,998934.0,0.99481
MareNostrum 5,128,11,8,4194304,7904,0.5,17472.1,2.210538967611336,1897410.0,0.99481
MareNostrum 5,128,11,16,4194304,7904,0.5,9879.81,1.2499759615384616,3355510.0,0.99481
MareNostrum 5,128,11,32,4194304,7904,0.5,6484.48,0.8204048582995951,5112480.0,0.99481
MareNostrum 5,128,11,64,4194304,7904,0.5,4937.51,0.6246849696356276,6714270.0,0.99481
MareNostrum 5,128,11,128,4194304,7904,0.5,2062.48,0.2609412955465587,16073700.0,0.994812
MareNostrum 5,128,11,256,4194304,7904,0.5,854.222,0.10807464574898785,38809300.0,0.994656
MareNostrum 5,128,11,512,4194304,7904,0.5,344.766,0.04361918016194332,96157200.0,0.994647
MareNostrum 5,128,11,1024,4194304,7904,0.5,271.714,0.03437677125506073,122010000.0,0.994648
