machine,level,npe,cells,steps,t,real,speed,u,grid
MareNostrum 5,10,2,1048576,2808,0.5,4809.71,612178.0,0.993814,uniform
MareNostrum 5,10,4,1048576,2808,0.5,2505.71,1175080.0,0.993814,uniform
MareNostrum 5,10,8,1048576,2808,0.5,1302.68,2260260.0,0.993814,uniform
MareNostrum 5,10,16,1048576,2808,0.5,686.139,4291260.0,0.993814,uniform
MareNostrum 5,10,32,1048576,2808,0.5,363.735,8094910.0,0.993814,uniform
MareNostrum 5,10,64,1048576,2808,0.5,215.315,13674900.0,0.993814,uniform
MareNostrum 5,10,128,1048576,2808,0.5,75.3515,39075500.0,0.99381,uniform
MareNostrum 5,10,256,1048576,2808,0.5,47.4286,62080700.0,0.993559,uniform
MareNostrum 5,10,512,1048576,2808,0.5,50.5286,58272000.0,0.993554,uniform
MareNostrum 5,10,1024,1048576,2808,0.5,59.8174,49223100.0,0.993561,uniform
MareNostrum 5,10,2048,1048576,2808,0.5,71.744,41040400.0,0.993665,uniform
MareNostrum 5,10,4096,1048576,2808,0.5,104.166,28266400.0,0.993664,uniform
Snellius,10,4,1048576,2808,0.5,3798.27,775195.0,0.993814,uniform
Snellius,10,8,1048576,2808,0.5,1520.17,1936890.0,0.993814,uniform
Snellius,10,16,1048576,2808,0.5,534.161,5512200.0,0.993814,uniform
Snellius,10,32,1048576,2808,0.5,275.416,10690700.0,0.993814,uniform
Snellius,10,64,1048576,2808,0.5,146.357,20117900.0,0.993814,uniform
Snellius,10,128,1048576,2808,0.5,87.868,33509400.0,0.99381,uniform
Snellius,10,256,1048576,2808,0.5,59.9589,49107000.0,0.993559,uniform
Snellius,10,512,1048576,2808,0.5,47.6903,61740100.0,0.993554,uniform
Snellius,10,1024,1048576,2808,0.5,46.69,63062700.0,0.993561,uniform
Snellius,10,2048,1048576,2808,0.5,49.9482,58949100.0,0.993665,uniform
Snellius,10,4096,1048576,2808,0.5,61.0767,48208300.0,0.993664,uniform
