machine,ndrops,level,npe,cells,steps,t,real,per_step,speed,u
MareNostrum 5,1,10,2,1048576,292,0.05,476.945,1.6333732876712328,641969.0,0.68949
MareNostrum 5,1,10,4,1048576,292,0.05,245.892,0.8420958904109589,1245200.0,0.68949
MareNostrum 5,1,10,8,1048576,292,0.05,126.867,0.43447602739726027,2413430.0,0.68949
MareNostrum 5,1,10,16,1048576,292,0.05,66.2874,0.22701164383561645,4619040.0,0.689491
MareNostrum 5,1,10,32,1048576,292,0.05,35.0887,0.12016678082191781,8726010.0,0.689491
MareNostrum 5,1,10,64,1048576,292,0.05,21.4933,0.07360719178082192,14245600.0,0.689491
MareNostrum 5,1,10,128,1048576,292,0.05,7.81972,0.02677986301369863,39155400.0,0.689491
MareNostrum 5,1,10,256,1048576,292,0.05,4.92713,0.01687373287671233,62142500.0,0.689467
MareNostrum 5,1,10,512,1048576,292,0.05,4.94098,0.016921164383561643,61968300.0,0.689463
MareNostrum 5,1,10,1024,1048576,292,0.05,5.9481,0.020370205479452057,51476000.0,0.689493
MareNostrum 5,2,10,2,1048576,387,0.05,627.604,1.621715762273902,646585.0,0.678705
MareNostrum 5,2,10,4,1048576,387,0.05,327.958,0.84743669250646,1237350.0,0.678604
MareNostrum 5,2,10,8,1048576,387,0.05,170.377,0.44025064599483205,2381770.0,0.678605
MareNostrum 5,2,10,16,1048576,387,0.05,89.9043,0.2323108527131783,4513680.0,0.678601
MareNostrum 5,2,10,32,1048576,387,0.05,48.1925,0.12452842377260982,8420370.0,0.678637
MareNostrum 5,2,10,64,1048576,387,0.05,30.4289,0.07862764857881137,13336000.0,0.678642
MareNostrum 5,2,10,128,1048576,387,0.05,11.3204,0.029251679586563308,35846700.0,0.678334
MareNostrum 5,2,10,256,1048576,387,0.05,7.07497,0.01828157622739018,57357000.0,0.678318
MareNostrum 5,2,10,512,1048576,387,0.05,7.26012,0.01876,55894300.0,0.678351
MareNostrum 5,2,10,1024,1048576,387,0.05,9.87958,0.025528630490956074,41074500.0,0.678342
MareNostrum 5,4,10,2,1048576,387,0.05,632.777,1.6350826873385014,641299.0,0.671422
MareNostrum 5,4,10,4,1048576,387,0.05,324.895,0.8395219638242893,1249020.0,0.671422
MareNostrum 5,4,10,8,1048576,387,0.05,169.752,0.4386356589147287,2390540.0,0.671421
MareNostrum 5,4,10,16,1048576,387,0.05,90.4313,0.23367260981912144,4487370.0,0.671422
MareNostrum 5,4,10,32,1048576,387,0.05,48.5574,0.12547131782945736,8357100.0,0.671376
MareNostrum 5,4,10,64,1048576,387,0.05,30.1624,0.0779390180878553,13453800.0,0.671372
MareNostrum 5,4,10,128,1048576,387,0.05,11.1883,0.028910335917312662,36269900.0,0.671049
MareNostrum 5,4,10,256,1048576,387,0.05,6.91826,0.017876640826873385,58656300.0,0.67103
MareNostrum 5,4,10,512,1048576,387,0.05,7.32022,0.01891529715762274,55435300.0,0.671067
MareNostrum 5,4,10,1024,1048576,387,0.05,8.95584,0.02314170542635659,45311100.0,0.671063
MareNostrum 5,8,10,2,1048576,462,0.05,835.264,1.807930735930736,579987.0,0.621128
MareNostrum 5,8,10,4,1048576,462,0.05,429.568,0.9298008658008657,1127740.0,0.62339
MareNostrum 5,8,10,8,1048576,462,0.05,223.617,0.4840194805194805,2166390.0,0.625395
MareNostrum 5,8,10,16,1048576,462,0.05,117.295,0.2538852813852814,4130110.0,0.63156
