machine,case,level,nx,npe,cells,steps,t,real,per_step,speed
Snellius,bursting-uniform,9,512,2,262144,10,0.00139364,2.58862,0.25886200000000004,1012680.0
Snellius,bursting-uniform,9,512,8,262144,10,0.00139364,0.42823,0.042823,6121570.0
Snellius,bursting-uniform,9,512,32,262144,10,0.00139364,0.154471,0.0154471,16970400.0
Snellius,bursting-uniform,9,512,96,262144,10,0.00139364,0.091757,0.0091757,28569400.0
Snellius,bursting-uniform,9,512,192,262144,10,0.00139364,0.077032,0.0077032,34030500.0
Snellius,bursting-uniform,9,512,384,262144,10,0.00139364,0.078707,0.0078707,33306300.0
Snellius,bursting-uniform,9,512,768,262144,10,0.00139364,0.081057,0.0081057,32340700.0
Snellius,bursting-uniform,10,1024,2,1048576,10,0.000492725,12.8172,1.28172,818099.0
Snellius,bursting-uniform,10,1024,8,1048576,10,0.000492725,2.61808,0.261808,4005130.0
Snellius,bursting-uniform,10,1024,32,1048576,10,0.000492725,0.816039,0.0816039,12849600.0
Snellius,bursting-uniform,10,1024,96,1048576,10,0.000492725,0.303254,0.030325400000000002,34577500.0
Snellius,bursting-uniform,10,1024,192,1048576,10,0.000492725,0.173851,0.0173851,60314600.0
Snellius,bursting-uniform,10,1024,384,1048576,10,0.000492725,0.128642,0.012864200000000001,81511200.0
Snellius,bursting-uniform,10,1024,768,1048576,10,0.000492725,0.107502,0.0107502,97540100.0
Snellius,bursting-uniform,11,2048,8,4194304,10,0.000174205,12.7948,1.27948,3278130.0
Snellius,bursting-uniform,11,2048,32,4194304,10,0.000174205,3.74552,0.374552,11198200.0
Snellius,bursting-uniform,11,2048,96,4194304,10,0.000174205,1.83386,0.183386,22871400.0
Snellius,bursting-uniform,11,2048,192,4194304,10,0.000174205,1.10518,0.110518,37951300.0
Snellius,bursting-uniform,11,2048,384,4194304,10,0.000174205,0.406746,0.0406746,103119000.0
Snellius,bursting-uniform,11,2048,768,4194304,10,0.000174205,0.780831,0.0780831,53715900.0
Snellius,drop-impact-uniform,9,512,2,262144,10,0.00720198,3.33442,0.333442,786176.0
Snellius,drop-impact-uniform,9,512,8,262144,10,0.00720209,0.528112,0.0528112,4963800.0
Snellius,drop-impact-uniform,9,512,32,262144,10,0.00720184,0.172273,0.0172273,15216800.0
Snellius,drop-impact-uniform,9,512,96,262144,10,0.00720112,0.117902,0.0117902,22234100.0
Snellius,drop-impact-uniform,9,512,192,262144,10,0.0072066,0.112573,0.011257300000000001,23286600.0
Snellius,drop-impact-uniform,9,512,384,262144,10,0.00722322,0.106086,0.0106086,24710500.0
Snellius,drop-impact-uniform,9,512,768,262144,10,0.00726185,0.122403,0.012240299999999999,21416500.0
Snellius,drop-impact-uniform,10,1024,2,1048576,10,0.00284874,20.3985,2.03985,514046.0
Snellius,drop-impact-uniform,10,1024,8,1048576,10,0.00284874,4.31967,0.43196700000000005,2427440.0
Snellius,drop-impact-uniform,10,1024,32,1048576,10,0.00284874,1.25598,0.12559800000000002,8348630.0
Snellius,drop-impact-uniform,10,1024,96,1048576,10,0.00284874,0.475291,0.047529100000000005,22061800.0
Snellius,drop-impact-uniform,10,1024,192,1048576,10,0.00284874,0.266657,0.026665699999999997,39323000.0
Snellius,drop-impact-uniform,10,1024,384,1048576,10,0.00284874,0.182303,0.018230299999999998,57518300.0
Snellius,drop-impact-uniform,10,1024,768,1048576,10,0.00284874,0.172553,0.0172553,60768300.0
Snellius,drop-impact-uniform,11,2048,8,4194304,10,0.000976827,22.9799,2.29799,1825210.0
Snellius,drop-impact-uniform,11,2048,32,4194304,10,0.00097683,6.9354,0.6935399999999999,6047670.0
Snellius,drop-impact-uniform,11,2048,96,4194304,10,0.000976782,3.24297,0.324297,12933500.0
Snellius,drop-impact-uniform,11,2048,192,4194304,10,0.000976724,1.9614,0.19614,21384200.0
